rate_multiplier,bias_offset,total_penalty,reliability_violations,forecast_bias_pct,cap_compliant
0.5,-0.02,132755.81430973456,0,-1.8360531810495313,False
0.5,-0.01,56780.61263093727,0,-0.8343802543255459,False
0.5,0.0,46903.35764880189,0,0.16729267239843926,True
0.5,0.01,76255.3369533938,0,1.1689655991224244,False
0.5,0.02,159851.4606641844,0,2.17063852584641,False
0.5,0.03,287609.3396654931,0,3.1723114525703955,False
0.5,0.05,654420.9522258518,0,5.175657306018365,False
0.75,-0.02,199133.72146460184,0,-1.8360531810495313,False
0.75,-0.01,85170.9189464059,0,-0.8343802543255459,False
0.75,0.0,70355.03647320284,0,0.16729267239843926,False
0.75,0.01,114383.00543009069,0,1.1689655991224244,False
0.75,0.02,239777.19099627656,0,2.17063852584641,False
0.75,0.03,431414.00949823967,0,3.1723114525703955,False
0.75,0.05,981631.4283387777,0,5.175657306018365,False
1.0,-0.02,265511.6286194691,0,-1.8360531810495313,False
1.0,-0.01,113561.22526187454,0,-0.8343802543255459,False
1.0,0.0,93806.71529760378,0,0.16729267239843926,False
1.0,0.01,152510.6739067876,0,1.1689655991224244,False
1.0,0.02,319702.9213283688,0,2.17063852584641,False
1.0,0.03,575218.6793309862,0,3.1723114525703955,False
1.0,0.05,1308841.9044517037,0,5.175657306018365,False
1.25,-0.02,331889.53577433643,0,-1.8360531810495313,False
1.25,-0.01,141951.53157734318,0,-0.8343802543255459,False
1.25,0.0,117258.39412200471,0,0.16729267239843926,False
1.25,0.01,190638.34238348447,0,1.1689655991224244,False
1.25,0.02,399628.651660461,0,2.17063852584641,False
1.25,0.03,719023.3491637327,0,3.1723114525703955,False
1.25,0.05,1636052.3805646296,0,5.175657306018365,False
1.5,-0.02,398267.4429292037,0,-1.8360531810495313,False
1.5,-0.01,170341.8378928118,0,-0.8343802543255459,False
1.5,0.0,140710.07294640568,0,0.16729267239843926,False
1.5,0.01,228766.01086018138,0,1.1689655991224244,False
1.5,0.02,479554.3819925531,0,2.17063852584641,False
1.5,0.03,862828.0189964793,0,3.1723114525703955,False
1.5,0.05,1963262.8566775555,0,5.175657306018365,False
2.0,-0.02,531023.2572389382,0,-1.8360531810495313,False
2.0,-0.01,227122.45052374908,0,-0.8343802543255459,False
2.0,0.0,187613.43059520755,0,0.16729267239843926,False
2.0,0.01,305021.3478135752,0,1.1689655991224244,False
2.0,0.02,639405.8426567375,0,2.17063852584641,False
2.0,0.03,1150437.3586619725,0,3.1723114525703955,False
2.0,0.05,2617683.8089034073,0,5.175657306018365,False
